Anno;Mese;Cerchia;Incidenti;Morti;Feriti
2001;1;Entro la Cerchia dei Navigli;56;0;63
2001;1;Dalla Cerchia dei Navigli alle Mura Spagnole;88;0;106
2001;1;Dalle Mura Spagnole alla Nuova Circonvallazione;342;2;471
2001;1;Dalla Nuova Circonvallazione ai confini del Comune;697;5;981
2001;1;Senza indicazioni;50;1;69
2001;2;Entro la Cerchia dei Navigli;36;1;41
2001;2;Dalla Cerchia dei Navigli alle Mura Spagnole;92;0;122
2001;2;Dalle Mura Spagnole alla Nuova Circonvallazione;334;2;451
2001;2;Dalla Nuova Circonvallazione ai confini del Comune;685;8;943
2001;2;Senza indicazioni;41;0;59
2001;3;Entro la Cerchia dei Navigli;48;0;58
2001;3;Dalla Cerchia dei Navigli alle Mura Spagnole;104;1;140
2001;3;Dalle Mura Spagnole alla Nuova Circonvallazione;417;0;560
2001;3;Dalla Nuova Circonvallazione ai confini del Comune;799;6;1159
2001;3;Senza indicazioni;51;0;60
2001;4;Entro la Cerchia dei Navigli;37;0;40
2001;4;Dalla Cerchia dei Navigli alle Mura Spagnole;84;0;126
2001;4;Dalle Mura Spagnole alla Nuova Circonvallazione;372;2;482
2001;4;Dalla Nuova Circonvallazione ai confini del Comune;829;5;1193
2001;4;Senza indicazioni;47;1;63
2001;5;Entro la Cerchia dei Navigli;47;0;57
2001;5;Dalla Cerchia dei Navigli alle Mura Spagnole;117;0;156
2001;5;Dalle Mura Spagnole alla Nuova Circonvallazione;472;0;651
2001;5;Dalla Nuova Circonvallazione ai confini del Comune;1007;4;1418
2001;5;Senza indicazioni;54;0;71
2001;6;Entro la Cerchia dei Navigli;61;1;71
2001;6;Dalla Cerchia dei Navigli alle Mura Spagnole;132;0;166
2001;6;Dalle Mura Spagnole alla Nuova Circonvallazione;506;0;704
2001;6;Dalla Nuova Circonvallazione ai confini del Comune;1090;7;1484
2001;6;Senza indicazioni;53;1;81
2001;7;Entro la Cerchia dei Navigli;41;0;48
2001;7;Dalla Cerchia dei Navigli alle Mura Spagnole;123;0;167
2001;7;Dalle Mura Spagnole alla Nuova Circonvallazione;503;2;656
2001;7;Dalla Nuova Circonvallazione ai confini del Comune;938;6;1288
2001;7;Senza indicazioni;52;1;64
2001;8;Entro la Cerchia dei Navigli;18;0;23
2001;8;Dalla Cerchia dei Navigli alle Mura Spagnole;45;0;75
2001;8;Dalle Mura Spagnole alla Nuova Circonvallazione;240;2;344
2001;8;Dalla Nuova Circonvallazione ai confini del Comune;521;5;742
2001;8;Senza indicazioni;24;0;37
2001;9;Entro la Cerchia dei Navigli;34;0;39
2001;9;Dalla Cerchia dei Navigli alle Mura Spagnole;111;0;163
2001;9;Dalle Mura Spagnole alla Nuova Circonvallazione;405;2;527
