data;timeIndex;totale;areac
2016-01-01;00:00;818;0
2016-01-01;00:30;1560;0
2016-01-01;01:00;2198;0
2016-01-01;01:30;2335;0
2016-01-01;02:00;2078;0
2016-01-01;02:30;1960;0
2016-01-01;03:00;1648;0
2016-01-01;03:30;1200;0
2016-01-01;04:00;1145;0
2016-01-01;04:30;994;0
2016-01-01;05:00;901;0
2016-01-01;05:30;872;0
2016-01-01;06:00;709;0
2016-01-01;06:30;784;0
2016-01-01;07:00;584;0
2016-01-01;07:30;524;0
2016-01-01;08:00;480;0
2016-01-01;08:30;547;0
2016-01-01;09:00;626;0
2016-01-01;09:30;902;0
2016-01-01;10:00;1143;0
2016-01-01;10:30;1377;0
2016-01-01;11:00;1541;0
2016-01-01;11:30;1679;0
2016-01-01;12:00;1743;0
2016-01-01;12:30;1800;0
2016-01-01;13:00;1587;0
2016-01-01;13:30;1345;0
2016-01-01;14:00;1530;0
2016-01-01;14:30;1586;0
2016-01-01;15:00;2037;0
2016-01-01;15:30;2299;0
2016-01-01;16:00;2783;0
2016-01-01;16:30;2760;0
2016-01-01;17:00;2685;0
2016-01-01;17:30;2545;0
2016-01-01;18:00;2340;0
2016-01-01;18:30;2029;0
2016-01-01;19:00;1918;0
2016-01-01;19:30;1877;0
2016-01-01;20:00;1439;0
2016-01-01;20:30;1211;0
2016-01-01;21:00;1107;0
2016-01-01;21:30;1073;0
2016-01-01;22:00;1033;0
2016-01-01;22:30;990;0
2016-01-01;23:00;886;0
2016-01-01;23:30;812;0
2016-01-02;00:00;784;0
2016-01-02;00:30;648;0
2016-01-02;01:00;473;0
2016-01-02;01:30;473;0
2016-01-02;02:00;337;0
2016-01-02;02:30;310;0
2016-01-02;03:00;252;0
2016-01-02;03:30;221;0
2016-01-02;04:00;239;0
2016-01-02;04:30;260;0
2016-01-02;05:00;330;0
2016-01-02;05:30;493;0
2016-01-02;06:00;599;0
2016-01-02;06:30;915;0
2016-01-02;07:00;886;0
2016-01-02;07:30;1049;0
2016-01-02;08:00;1106;0
2016-01-02;08:30;1301;0
2016-01-02;09:00;1705;0
2016-01-02;09:30;1989;0
2016-01-02;10:00;2458;0
2016-01-02;10:30;2709;0
2016-01-02;11:00;2928;0
2016-01-02;11:30;2850;0
2016-01-02;12:00;2669;0
2016-01-02;12:30;2523;0
2016-01-02;13:00;2168;0
2016-01-02;13:30;2064;0
2016-01-02;14:00;2154;0
2016-01-02;14:30;2361;0
2016-01-02;15:00;2474;0
2016-01-02;15:30;2764;0
2016-01-02;16:00;2891;0
2016-01-02;16:30;2946;0
2016-01-02;17:00;2868;0
2016-01-02;17:30;2742;0
2016-01-02;18:00;2665;0
2016-01-02;18:30;2484;0
2016-01-02;19:00;2462;0
2016-01-02;19:30;2397;0
2016-01-02;20:00;2304;0
2016-01-02;20:30;1872;0
2016-01-02;21:00;1567;0
2016-01-02;21:30;1500;0
2016-01-02;22:00;1446;0
2016-01-02;22:30;1476;0
2016-01-02;23:00;1461;0
2016-01-02;23:30;1282;0
2016-01-03;00:00;1123;0
2016-01-03;00:30;893;0
2016-01-03;01:00;729;0
2016-01-03;01:30;632;0
2016-01-03;02:00;499;0
2016-01-03;02:30;402;0
2016-01-03;03:00;335;0
2016-01-03;03:30;323;0
2016-01-03;04:00;278;0
2016-01-03;04:30;283;0
2016-01-03;05:00;327;0
2016-01-03;05:30;425;0
2016-01-03;06:00;479;0
2016-01-03;06:30;590;0
2016-01-03;07:00;555;0
2016-01-03;07:30;638;0
2016-01-03;08:00;729;0
2016-01-03;08:30;841;0
2016-01-03;09:00;1210;0
2016-01-03;09:30;1543;0
2016-01-03;10:00;1974;0
2016-01-03;10:30;2206;0
2016-01-03;11:00;2440;0
2016-01-03;11:30;2454;0
2016-01-03;12:00;2534;0
2016-01-03;12:30;2306;0
2016-01-03;13:00;2024;0
2016-01-03;13:30;1975;0
2016-01-03;14:00;2219;0
2016-01-03;14:30;2637;0
2016-01-03;15:00;3119;0
2016-01-03;15:30;3230;0
2016-01-03;16:00;3300;0
2016-01-03;16:30;3380;0
2016-01-03;17:00;3178;0
2016-01-03;17:30;2944;0
2016-01-03;18:00;2789;0
2016-01-03;18:30;2618;0
2016-01-03;19:00;2671;0
2016-01-03;19:30;2544;0
