data;timeIndex;totale;areac
2015-01-01;00:00;852;0
2015-01-01;00:30;1548;0
2015-01-01;01:00;1947;0
2015-01-01;01:30;2325;0
2015-01-01;02:00;2060;0
2015-01-01;02:30;1785;0
2015-01-01;03:00;1448;0
2015-01-01;03:30;1215;0
2015-01-01;04:00;983;0
2015-01-01;04:30;827;0
2015-01-01;05:00;738;0
2015-01-01;05:30;782;0
2015-01-01;06:00;714;0
2015-01-01;06:30;809;0
2015-01-01;07:00;526;0
2015-01-01;07:30;549;0
2015-01-01;08:00;494;0
2015-01-01;08:30;643;0
2015-01-01;09:00;759;0
2015-01-01;09:30;969;0
2015-01-01;10:00;1271;0
2015-01-01;10:30;1530;0
2015-01-01;11:00;1674;0
2015-01-01;11:30;1940;0
2015-01-01;12:00;2123;0
2015-01-01;12:30;1953;0
2015-01-01;13:00;1785;0
2015-01-01;13:30;1689;0
2015-01-01;14:00;1752;0
2015-01-01;14:30;2122;0
2015-01-01;15:00;2567;0
2015-01-01;15:30;2864;0
2015-01-01;16:00;3296;0
2015-01-01;16:30;3236;0
2015-01-01;17:00;2914;0
2015-01-01;17:30;2801;0
2015-01-01;18:00;2546;0
2015-01-01;18:30;2191;0
2015-01-01;19:00;2067;0
2015-01-01;19:30;1930;0
2015-01-01;20:00;1616;0
2015-01-01;20:30;1417;0
2015-01-01;21:00;1221;0
2015-01-01;21:30;1104;0
2015-01-01;22:00;1081;0
2015-01-01;22:30;1050;0
2015-01-01;23:00;851;0
2015-01-01;23:30;777;0
2015-01-02;00:00;615;0
2015-01-02;00:30;475;0
2015-01-02;01:00;378;0
2015-01-02;01:30;307;0
2015-01-02;02:00;207;0
2015-01-02;02:30;184;0
2015-01-02;03:00;162;0
2015-01-02;03:30;140;0
2015-01-02;04:00;193;0
2015-01-02;04:30;285;0
2015-01-02;05:00;423;0
2015-01-02;05:30;619;0
2015-01-02;06:00;757;0
2015-01-02;06:30;1384;0
2015-01-02;07:00;1743;0
2015-01-02;07:30;1998;0
2015-01-02;08:00;2203;0
2015-01-02;08:30;2367;0
2015-01-02;09:00;2423;0
2015-01-02;09:30;2790;0
2015-01-02;10:00;2920;0
2015-01-02;10:30;3169;0
2015-01-02;11:00;3186;0
2015-01-02;11:30;3269;0
2015-01-02;12:00;2976;0
2015-01-02;12:30;2733;0
2015-01-02;13:00;2567;0
2015-01-02;13:30;2326;0
2015-01-02;14:00;2528;0
2015-01-02;14:30;2964;0
2015-01-02;15:00;3278;0
2015-01-02;15:30;3215;0
2015-01-02;16:00;3315;0
2015-01-02;16:30;3159;0
2015-01-02;17:00;3046;0
2015-01-02;17:30;2804;0
2015-01-02;18:00;2711;0
2015-01-02;18:30;2405;0
2015-01-02;19:00;2304;0
2015-01-02;19:30;2435;0
2015-01-02;20:00;2064;0
2015-01-02;20:30;1742;0
2015-01-02;21:00;1539;0
2015-01-02;21:30;1424;0
2015-01-02;22:00;1400;0
2015-01-02;22:30;1440;0
2015-01-02;23:00;1375;0
2015-01-02;23:30;1189;0
2015-01-03;00:00;1007;0
2015-01-03;00:30;837;0
2015-01-03;01:00;678;0
2015-01-03;01:30;561;0
2015-01-03;02:00;408;0
2015-01-03;02:30;320;0
2015-01-03;03:00;294;0
2015-01-03;03:30;266;0
2015-01-03;04:00;276;0
2015-01-03;04:30;281;0
2015-01-03;05:00;389;0
2015-01-03;05:30;512;0
2015-01-03;06:00;630;0
2015-01-03;06:30;1007;0
2015-01-03;07:00;1011;0
2015-01-03;07:30;1238;0
2015-01-03;08:00;1366;0
2015-01-03;08:30;1644;0
2015-01-03;09:00;2258;0
2015-01-03;09:30;3061;0
2015-01-03;10:00;3369;0
2015-01-03;10:30;3855;0
2015-01-03;11:00;3852;0
2015-01-03;11:30;3686;0
2015-01-03;12:00;3481;0
2015-01-03;12:30;3238;0
2015-01-03;13:00;2938;0
2015-01-03;13:30;2716;0
2015-01-03;14:00;2830;0
2015-01-03;14:30;3086;0
2015-01-03;15:00;3594;0
2015-01-03;15:30;3708;0
2015-01-03;16:00;3583;0
2015-01-03;16:30;3603;0
2015-01-03;17:00;3497;0
2015-01-03;17:30;3358;0
2015-01-03;18:00;3114;0
2015-01-03;18:30;2876;0
2015-01-03;19:00;2658;0
2015-01-03;19:30;2892;0
2015-01-03;20:00;2620;0
2015-01-03;20:30;2233;0
2015-01-03;21:00;1831;0
2015-01-03;21:30;1727;0
2015-01-03;22:00;1729;0
2015-01-03;22:30;1754;0
2015-01-03;23:00;1632;0
2015-01-03;23:30;1645;0
2015-01-04;00:00;1440;0
2015-01-04;00:30;1185;0
2015-01-04;01:00;935;0
2015-01-04;01:30;808;0
2015-01-04;02:00;547;0
2015-01-04;02:30;463;0
2015-01-04;03:00;344;0
2015-01-04;03:30;310;0
2015-01-04;04:00;307;0
2015-01-04;04:30;240;0
2015-01-04;05:00;320;0
2015-01-04;05:30;377;0
2015-01-04;06:00;477;0
2015-01-04;06:30;672;0
2015-01-04;07:00;491;0
2015-01-04;07:30;689;0
2015-01-04;08:00;746;0
2015-01-04;08:30;1050;0
2015-01-04;09:00;1518;0
2015-01-04;09:30;2130;0
2015-01-04;10:00;2662;0
2015-01-04;10:30;3152;0
2015-01-04;11:00;3262;0
2015-01-04;11:30;3284;0
2015-01-04;12:00;3060;0
2015-01-04;12:30;2924;0
2015-01-04;13:00;2620;0
2015-01-04;13:30;2457;0
2015-01-04;14:00;2750;0
2015-01-04;14:30;3484;0
2015-01-04;15:00;4198;0
2015-01-04;15:30;4481;0
2015-01-04;16:00;4262;0
2015-01-04;16:30;3954;0
2015-01-04;17:00;3702;0
2015-01-04;17:30;3287;0
2015-01-04;18:00;3257;0
2015-01-04;18:30;3168;0
2015-01-04;19:00;2913;0
2015-01-04;19:30;2778;0
2015-01-04;20:00;2413;0
2015-01-04;20:30;1951;0
2015-01-04;21:00;1692;0
2015-01-04;21:30;1584;0
2015-01-04;22:00;1619;0
2015-01-04;22:30;1450;0
2015-01-04;23:00;1413;0
2015-01-04;23:30;1263;0
2015-01-05;00:00;976;0
2015-01-05;00:30;856;0
2015-01-05;01:00;618;0
2015-01-05;01:30;439;0
2015-01-05;02:00;366;0
2015-01-05;02:30;254;0
2015-01-05;03:00;220;0
2015-01-05;03:30;192;0
2015-01-05;04:00;235;0
2015-01-05;04:30;312;0
2015-01-05;05:00;478;0
2015-01-05;05:30;683;0
2015-01-05;06:00;889;0
2015-01-05;06:30;1515;0
2015-01-05;07:00;2034;0
2015-01-05;07:30;2230;0
2015-01-05;08:00;2656;0
2015-01-05;08:30;2888;0
2015-01-05;09:00;2974;0
2015-01-05;09:30;3338;0
2015-01-05;10:00;3603;0
2015-01-05;10:30;3808;0
2015-01-05;11:00;3707;0
2015-01-05;11:30;3789;0
2015-01-05;12:00;3504;0
2015-01-05;12:30;3297;0
2015-01-05;13:00;3059;0
2015-01-05;13:30;2906;0
2015-01-05;14:00;2968;0
2015-01-05;14:30;3426;0
2015-01-05;15:00;3806;0
2015-01-05;15:30;3772;0
2015-01-05;16:00;3937;0
2015-01-05;16:30;3958;0
2015-01-05;17:00;3829;0
2015-01-05;17:30;3660;0
2015-01-05;18:00;3578;0
2015-01-05;18:30;3299;0
2015-01-05;19:00;3064;0
2015-01-05;19:30;3404;0
2015-01-05;20:00;2943;0
2015-01-05;20:30;2462;0
2015-01-05;21:00;1967;0
2015-01-05;21:30;1773;0
2015-01-05;22:00;1969;0
2015-01-05;22:30;1745;0
2015-01-05;23:00;1718;0
2015-01-05;23:30;1623;0
2015-01-06;00:00;1482;0
2015-01-06;00:30;1124;0
2015-01-06;01:00;890;0
2015-01-06;01:30;675;0
2015-01-06;02:00;511;0
2015-01-06;02:30;406;0
2015-01-06;03:00;378;0
2015-01-06;03:30;297;0
2015-01-06;04:00;322;0
2015-01-06;04:30;348;0
2015-01-06;05:00;410;0
2015-01-06;05:30;506;0
2015-01-06;06:00;602;0
2015-01-06;06:30;798;0
2015-01-06;07:00;667;0
2015-01-06;07:30;881;0
2015-01-06;08:00;939;0
2015-01-06;08:30;1244;0
2015-01-06;09:00;1660;0
2015-01-06;09:30;2542;0
2015-01-06;10:00;2993;0
2015-01-06;10:30;3434;0
2015-01-06;11:00;3790;0
2015-01-06;11:30;3775;0
2015-01-06;12:00;3747;0
2015-01-06;12:30;3589;0
2015-01-06;13:00;3200;0
2015-01-06;13:30;2740;0
2015-01-06;14:00;2900;0
2015-01-06;14:30;3522;0
2015-01-06;15:00;4090;0
2015-01-06;15:30;4182;0
2015-01-06;16:00;4418;0
2015-01-06;16:30;4263;0
2015-01-06;17:00;4314;0
2015-01-06;17:30;4155;0
2015-01-06;18:00;3766;0
2015-01-06;18:30;3421;0
2015-01-06;19:00;3291;0
2015-01-06;19:30;3194;0
2015-01-06;20:00;2895;0
2015-01-06;20:30;2227;0
2015-01-06;21:00;1817;0
2015-01-06;21:30;1618;0
2015-01-06;22:00;1645;0
2015-01-06;22:30;1462;0
2015-01-06;23:00;1663;0
2015-01-06;23:30;1336;0
2015-01-07;00:00;953;0
2015-01-07;00:30;622;0
2015-01-07;01:00;531;0
